model,outcome,order,term,coefficient,standard_error,t_statistic,p_value,ci_lower,ci_upper
M2_MIN,DIVX,1,rents_mining,-0.001332,0.001461,-0.911873,0.366393,-0.004269,0.001605
M2_MIN,DIVX,2,inst,0.044598,0.025315,1.761754,0.084479,-0.006300,0.095497
M2_MIN,DIVX,3,c.rents_mining#c.inst,-0.001318,0.001648,-0.799526,0.427924,-0.004631,0.001996
M2_MIN,DIVX,4,vol,0.001971,0.001013,1.944992,0.057647,-0.000067,0.004008
M2_MIN,DIVX,5,rer,-0.054416,0.041469,-1.312203,0.195692,-0.137796,0.028964
M2_MIN,DIVX,6,humcap,0.146843,0.048358,3.036551,0.003861,0.049612,0.244073
M2_MIN,DIVX,7,innov,0.016161,0.015861,1.018887,0.313365,-0.015731,0.048053
M2_MIN,DIVX,8,net,-0.000757,0.000441,-1.715915,0.092626,-0.001645,0.000130
M2_MIN,DIVX,9,log_gdppc,-0.191846,0.036880,-5.201910,0.000004,-0.265997,-0.117694
M2_MIN,DIVX,10,govcons,0.002211,0.001671,1.322847,0.192154,-0.001150,0.005571
M2_MIN,DIVX,11,fin,0.000866,0.000408,2.123966,0.038852,0.000046,0.001687
M2_MIN,ECI,1,rents_mining,-0.011582,0.004714,-2.456753,0.017687,-0.021061,-0.002103
M2_MIN,ECI,2,inst,0.271544,0.125050,2.171490,0.034868,0.020115,0.522973
M2_MIN,ECI,3,c.rents_mining#c.inst,-0.000934,0.003901,-0.239525,0.811718,-0.008777,0.006909
M2_MIN,ECI,4,vol,-0.001011,0.002671,-0.378585,0.706666,-0.006381,0.004359
M2_MIN,ECI,5,rer,-0.086956,0.101799,-0.854201,0.397237,-0.291636,0.117723
M2_MIN,ECI,6,humcap,0.151263,0.243459,0.621309,0.537336,-0.338244,0.640771
M2_MIN,ECI,7,innov,-0.012874,0.050153,-0.256694,0.798512,-0.113714,0.087966
M2_MIN,ECI,8,net,-0.001311,0.002258,-0.580800,0.564092,-0.005851,0.003228
M2_MIN,ECI,9,log_gdppc,-0.227937,0.210374,-1.083481,0.284007,-0.650923,0.195049
M2_MIN,ECI,10,govcons,-0.003123,0.010316,-0.302734,0.763400,-0.023864,0.017618
M2_MIN,ECI,11,fin,0.000657,0.002592,0.253496,0.800967,-0.004555,0.005870
