model,outcome,order,term,xtreg_coefficient,reghdfe_coefficient,absolute_difference,coefficient_match
M1_MIN,DIVX,1,rents_mining,-0.0002937891,-0.0002937891,0.0000000000,1
M1_MIN,DIVX,2,inst,0.0477948930,0.0477948934,0.0000000000,1
M1_MIN,DIVX,3,c.rents_mining#c.inst,-0.0009497822,-0.0009497822,0.0000000000,1
M1_MIN,DIVX,4,ln1p_oilpc,-0.0021236164,-0.0021236164,0.0000000000,1
M1_MIN,DIVX,5,ln1p_gaspc,0.0090135327,0.0090135327,0.0000000000,1
M1_MIN,DIVX,6,ln1p_coalpc,-0.0072425849,-0.0072425851,0.0000000000,1
M1_MIN,DIVX,7,pexp,0.0016110141,0.0016110141,0.0000000000,1
M1_MIN,DIVX,8,fexp,-0.0014222426,-0.0014222426,0.0000000000,1
M1_MIN,DIVX,9,log_gdppc,-0.1481530073,-0.1481530070,0.0000000000,1
M1_MIN,ECI,1,rents_mining,-0.0126705030,-0.0126705030,0.0000000000,1
M1_MIN,ECI,2,inst,0.1992168724,0.1992168725,0.0000000000,1
M1_MIN,ECI,3,c.rents_mining#c.inst,-0.0021692275,-0.0021692275,0.0000000000,1
M1_MIN,ECI,4,ln1p_oilpc,0.0161218368,0.0161218364,0.0000000000,1
M1_MIN,ECI,5,ln1p_gaspc,0.0362580485,0.0362580493,0.0000000000,1
M1_MIN,ECI,6,ln1p_coalpc,0.0028594183,0.0028594183,0.0000000000,1
M1_MIN,ECI,7,hhi,-0.5740557874,-0.5740557909,0.0000000000,1
M1_MIN,ECI,8,pexp,-0.0041515038,-0.0041515040,0.0000000000,1
M1_MIN,ECI,9,fexp,-0.0069014126,-0.0069014127,0.0000000000,1
M1_MIN,ECI,10,log_gdppc,-0.0941474306,-0.0941474289,0.0000000000,1
