model,outcome,order,percentile,inst_value,marginal_effect,standard_error,p_value,ci_lower,ci_upper
M2_MIN,DIVX,1,P10,-1.239373,0.000301,0.001602,0.850917,-0.002839,0.003441
M2_MIN,DIVX,2,P25,-0.878468,-0.000174,0.001257,0.889603,-0.002637,0.002289
M2_MIN,DIVX,3,P50,-0.391606,-0.000816,0.001170,0.485522,-0.003109,0.001477
M2_MIN,DIVX,4,P75,0.141341,-0.001518,0.001617,0.347744,-0.004687,0.001651
M2_MIN,DIVX,5,P90,0.915454,-0.002538,0.002678,0.343227,-0.007786,0.002710
M2_MIN,ECI,1,P10,-1.239373,-0.010424,0.004384,0.017426,-0.019017,-0.001831
M2_MIN,ECI,2,P25,-0.878468,-0.010761,0.003908,0.005894,-0.018421,-0.003102
M2_MIN,ECI,3,P50,-0.391606,-0.011216,0.004028,0.005360,-0.019111,-0.003321
M2_MIN,ECI,4,P75,0.141341,-0.011714,0.005053,0.020447,-0.021619,-0.001810
M2_MIN,ECI,5,P90,0.915454,-0.012438,0.007380,0.091917,-0.026901,0.002026
